id,title,crew,homepage,tags
862,Toy Story,JohnLasseter,http://toystory.disney.com/toy-story,"['Led', 'by', 'Woody,', ""Andy's"", 'toys', 'live', 'happily', 'in', 'his', 'room', 'until', ""Andy's"", 'birthday', 'brings', 'Buzz', 'Lightyear', 'onto', 'the', 'scene.', 'Afraid', 'of', 'losing', 'his', 'place', 'in', ""Andy's"", 'heart,', 'Woody', 'plots', 'against', 'Buzz.', 'But', 'when', 'circumstances', 'separate', 'Buzz', 'and', 'Woody', 'from', 'their', 'owner,', 'the', 'duo', 'eventually', 'learns', 'to', 'put', 'aside', 'their', 'differences.', 'Animation', 'Comedy', 'Family']"
710,GoldenEye,MartinCampbell,http://www.mgm.com/view/movie/757/Goldeneye/,"['James', 'Bond', 'must', 'unmask', 'the', 'mysterious', 'head', 'of', 'the', 'Janus', 'Syndicate', 'and', 'prevent', 'the', 'leader', 'from', 'utilizing', 'the', 'GoldenEye', 'weapons', 'system', 'to', 'inflict', 'devastating', 'revenge', 'on', 'Britain.', 'Adventure', 'Action', 'Thriller']"
10634,Friday,F.GaryGray,http://www.newline.com/properties/friday.html,"['Craig', 'and', 'Smokey', 'are', 'two', 'guys', 'in', 'Los', 'Angeles', 'hanging', 'out', 'on', 'their', 'porch', 'on', 'a', 'Friday', 'afternoon,', 'smoking', 'and', 'drinking,', 'looking', 'for', 'something', 'to', 'do.', 'Comedy']"
755,From Dusk Till Dawn,RobertRodriguez,http://www.miramax.com/movie/from-dusk-till-dawn/,"['Seth', 'Gecko', 'and', 'his', 'younger', 'brother', 'Richard', 'are', 'on', 'the', 'run', 'after', 'a', 'bloody', 'bank', 'robbery', 'in', 'Texas.', 'They', 'escape', 'across', 'the', 'border', 'into', 'Mexico', 'and', 'will', 'be', 'home-free', 'the', 'next', 'morning,', 'when', 'they', 'pay', 'off', 'the', 'local', 'kingpin.', 'They', 'just', 'have', 'to', 'survive', ""'from"", 'dusk', 'till', ""dawn'"", 'at', 'the', 'rendezvous', 'point,', 'which', 'turns', 'out', 'to', 'be', 'a', 'Hell', 'of', 'a', 'strip', 'joint.', 'Horror', 'Action', 'Thriller', 'Crime']"
5894,Blue in the Face,PaulAuster,http://miramax.com/movie/blue-in-the-face/,"['Auggie', 'runs', 'a', 'small', 'tobacco', 'shop', 'in', 'Brooklyn,', 'New', 'York.', 'The', 'whole', 'neighborhood', 'comes', 'to', 'visit', 'him', 'to', 'buy', 'cigarettes', 'and', 'have', 'some', 'small', 'talk.', 'During', 'the', 'movie', 'Lou', 'Reed', 'tries', 'to', 'explain', 'why', 'he', 'has', 'to', 'have', 'a', 'cut', 'on', 'his', 'health', 'insurance', 'bill', 'if', 'he', 'keeps', 'smoking', 'and', 'Madonna', 'acts', 'as', 'a', 'Singing', 'Telegram.', 'Comedy']"
9070,Mighty Morphin Power Rangers: The Movie,BryanSpicer,http://www.powerrangers.com/,"['Power', 'up', 'with', 'six', 'incredible', 'teens', 'who', 'out-maneuver', 'and', 'defeat', 'evil', 'everywhere', 'as', 'the', 'Mighty', 'Morphin', 'Power', 'Ranger,', 'But', 'this', 'time', 'the', 'Power', 'Rangers', 'may', 'have', 'met', 'their', 'match,', 'when', 'they', 'face', 'off', 'with', 'the', 'most', 'sinister', 'monster', 'the', 'galaxy', 'has', 'ever', 'seen.', 'Action', 'Adventure', 'ScienceFiction', 'Family', 'Fantasy']"
2292,Clerks,KevinSmith,http://www.miramax.com/movie/clerks/,"['Convenience', 'and', 'video', 'store', 'clerks', 'Dante', 'and', 'Randal', 'are', 'sharp-witted,', 'potty-mouthed', 'and', 'bored', 'out', 'of', 'their', 'minds.', 'So', 'in', 'between', 'needling', 'customers,', 'the', 'counter', 'jockeys', 'play', 'hockey', 'on', 'the', 'roof,', 'visit', 'a', 'funeral', 'home', 'and', 'deal', 'with', 'their', 'love', 'lives.', 'Comedy']"
11,Star Wars,GeorgeLucas,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,"['Princess', 'Leia', 'is', 'captured', 'and', 'held', 'hostage', 'by', 'the', 'evil', 'Imperial', 'forces', 'in', 'their', 'effort', 'to', 'take', 'over', 'the', 'galactic', 'Empire.', 'Venturesome', 'Luke', 'Skywalker', 'and', 'dashing', 'captain', 'Han', 'Solo', 'team', 'together', 'with', 'the', 'loveable', 'robot', 'duo', 'R2-D2', 'and', 'C-3PO', 'to', 'rescue', 'the', 'beautiful', 'princess', 'and', 'restore', 'peace', 'and', 'justice', 'in', 'the', 'Empire.', 'Adventure', 'Action', 'ScienceFiction']"
22586,The Swan Princess,RichardRich,http://www.sonypictures.com/movies/theswanprincess/,"['The', 'beautiful', 'princess', 'Odette', 'is', 'transformed', 'into', 'a', 'swan', 'by', 'an', 'evil', ""sorcerer's"", 'spell.', 'Held', 'captive', 'at', 'an', 'enchanted', 'lake,', 'she', 'befriends', 'Jean-Bob', 'the', 'frog,', 'Speed', 'the', 'turtle', 'and', 'Puffin', 'the', 'bird.', 'Despite', 'their', 'struggle', 'to', 'keep', 'the', 'princess', 'safe,', 'these', 'good-natured', 'creatures', 'can', 'do', 'nothing', 'about', 'the', ""sorcerer's"", 'spell,', 'which', 'can', 'only', 'be', 'broken', 'by', 'a', 'vow', 'of', 'everlasting', 'love.', 'Animation']"
8587,The Lion King,RogerAllers,http://movies.disney.com/the-lion-king,"['A', 'young', 'lion', 'cub', 'named', 'Simba', ""can't"", 'wait', 'to', 'be', 'king.', 'But', 'his', 'uncle', 'craves', 'the', 'title', 'for', 'himself', 'and', 'will', 'stop', 'at', 'nothing', 'to', 'get', 'it.', 'Family', 'Animation', 'Drama']"
329,Jurassic Park,StevenSpielberg,http://www.jurassicpark.com/,"['A', 'wealthy', 'entrepreneur', 'secretly', 'creates', 'a', 'theme', 'park', 'featuring', 'living', 'dinosaurs', 'drawn', 'from', 'prehistoric', 'DNA.', 'Before', 'opening', 'day,', 'he', 'invites', 'a', 'team', 'of', 'experts', 'and', 'his', 'two', 'eager', 'grandchildren', 'to', 'experience', 'the', 'park', 'and', 'help', 'calm', 'anxious', 'investors.', 'However,', 'the', 'park', 'is', 'anything', 'but', 'amusing', 'as', 'the', 'security', 'systems', 'go', 'off-line', 'and', 'the', 'dinosaurs', 'escape.', 'Adventure', 'ScienceFiction']"
78,Blade Runner,RidleyScott,http://www.warnerbros.com/blade-runner,"['In', 'the', 'smog-choked', 'dystopian', 'Los', 'Angeles', 'of', '2019,', 'blade', 'runner', 'Rick', 'Deckard', 'is', 'called', 'out', 'of', 'retirement', 'to', 'terminate', 'a', 'quartet', 'of', 'replicants', 'who', 'have', 'escaped', 'to', 'Earth', 'seeking', 'their', 'creator', 'for', 'a', 'way', 'to', 'extend', 'their', 'short', 'life', 'spans.', 'ScienceFiction', 'Drama', 'Thriller']"
771,Home Alone,ChrisColumbus,https://www.foxconnect.com/home-alone-4.html,"['Eight-year-old', 'Kevin', 'McCallister', 'makes', 'the', 'most', 'of', 'the', 'situation', 'after', 'his', 'family', 'unwittingly', 'leaves', 'him', 'behind', 'when', 'they', 'go', 'on', 'Christmas', 'vacation.', 'But', 'when', 'a', 'pair', 'of', 'bungling', 'burglars', 'set', 'their', 'sights', 'on', ""Kevin's"", 'house,', 'the', 'plucky', 'kid', 'stands', 'ready', 'to', 'defend', 'his', 'territory.', 'By', 'planting', 'booby', 'traps', 'galore,', 'adorably', 'mischievous', 'Kevin', 'stands', 'his', 'ground', 'as', 'his', 'frantic', 'mother', 'attempts', 'to', 'race', 'home', 'before.', 'Comedy', 'Family']"
812,Aladdin,RonClements,http://movies.disney.com/aladdin,"['Princess', 'Jasmine', 'grows', 'tired', 'of', 'being', 'forced', 'to', 'remain', 'in', 'the', 'palace', 'and', 'she', 'sneaks', 'out', 'into', 'the', 'marketplace', 'in', 'disguise', 'where', 'she', 'meets', 'street-urchin', 'Aladdin', 'and', 'the', 'two', 'fall', 'in', 'love,', 'although', 'she', 'may', 'only', 'marry', 'a', 'prince.', 'After', 'being', 'thrown', 'in', 'jail,', 'Aladdin', 'and', 'becomes', 'embroiled', 'in', 'a', 'plot', 'to', 'find', 'a', 'mysterious', 'lamp', 'with', 'which', 'the', 'evil', 'Jafar', 'hopes', 'to', 'rule', 'the', 'land.', 'Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']"
10020,Beauty and the Beast,GaryTrousdale,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,"['Follow', 'the', 'adventures', 'of', 'Belle,', 'a', 'bright', 'young', 'woman', 'who', 'finds', 'herself', 'in', 'the', 'castle', 'of', 'a', 'prince', ""who's"", 'been', 'turned', 'into', 'a', 'mysterious', 'beast.', 'With', 'the', 'help', 'of', 'the', ""castle's"", 'enchanted', 'staff,', 'Belle', 'soon', 'learns', 'the', 'most', 'important', 'lesson', 'of', 'all', '--', 'that', 'true', 'beauty', 'comes', 'from', 'within.', 'Romance', 'Family', 'Animation', 'Fantasy', 'Music']"
954,Mission: Impossible,BrianDePalma,http://www.missionimpossible.com/,"['When', 'Ethan', 'Hunt,', 'the', 'leader', 'of', 'a', 'crack', 'espionage', 'team', 'whose', 'perilous', 'operation', 'has', 'gone', 'awry', 'with', 'no', 'explanation,', 'discovers', 'that', 'a', 'mole', 'has', 'penetrated', 'the', 'CIA,', ""he's"", 'surprised', 'to', 'learn', 'that', ""he's"", 'the', 'No.', '1', 'suspect.', 'To', 'clear', 'his', 'name,', 'Hunt', 'now', 'must', 'ferret', 'out', 'the', 'real', 'double', 'agent', 'and,', 'in', 'the', 'process,', 'even', 'the', 'score.', 'Adventure', 'Action', 'Thriller']"
532,A Close Shave,NickPark,http://www.wallaceandgromit.com/films/a-close-shave,"['Wallace', 'falls', 'in', 'love', 'with', 'wool-shop', 'owner', 'Wendolene,', 'not', 'suspecting', 'that', 'she', '(or', 'rather,', 'her', 'dog)', 'is', 'at', 'the', 'head', 'of', 'a', 'fiendish', 'sheep-rustling', 'plot.', 'Gromit', 'is', 'set', 'up', 'and', 'jailed,', 'but', 'his', 'new-found', 'sheepish', 'friend', 'is', 'determine', 'to', 'give', 'Wallace', 'a', 'helping', 'hand', 'in', 'finding', 'out', 'the', 'real', 'truth.', 'Family', 'Animation', 'Comedy']"
77771,Touki Bouki,DjibrilDiopMambéty,http://worldcinemafoundation.org/films/touki-bouki,"['A', 'cowherd', 'with', 'a', 'skull-mounted', 'motorcycle', 'and', 'a', 'university', 'student', 'meet', 'in', 'Dakar;', 'put', 'off', 'by', 'life', 'in', 'Senegal,', 'they', 'plan', 'to', 'make', 'money', 'in', 'Paris.', 'Drama', 'Romance']"
627,Trainspotting,DannyBoyle,http://www.miramax.com/movie/trainspotting/,"['Renton,', 'deeply', 'immersed', 'in', 'the', 'Edinburgh', 'drug', 'scene,', 'tries', 'to', 'clean', 'up', 'and', 'get', 'out,', 'despite', 'the', 'allure', 'of', 'the', 'drugs', 'and', 'influence', 'of', 'friends.', 'Drama', 'Crime']"
10061,Escape from L.A.,JohnCarpenter,http://www.theofficialjohncarpenter.com/escape-from-la/,"['This', 'time,', 'a', 'cataclysmic', 'temblor', 'hits', 'Los', 'Angeles,', 'turning', 'it', 'into', 'an', 'island.', 'The', 'president', 'views', 'the', 'quake', 'as', 'a', 'sign', 'from', 'above,', 'expels', 'Los', 'Angeles', 'from', 'the', 'country', 'and', 'makes', 'it', 'a', 'penal', 'colony', 'for', 'those', 'found', 'guilty', 'of', 'moral', 'crimes.', 'When', 'his', 'daughter,', 'part', 'of', 'a', 'resistance', 'movement,', 'steals', 'the', 'control', 'unit', 'for', 'a', 'doomsday', 'weapon,', 'Snake', 'again', 'gets', 'tapped', 'to', 'save', 'the', 'day.', 'Action', 'Adventure', 'ScienceFiction', 'Thriller']"
238,The Godfather,FrancisFordCoppola,http://www.thegodfather.com/,"['Spanning', 'the', 'years', '1945', 'to', '1955,', 'a', 'chronicle', 'of', 'the', 'fictional', 'Italian-American', 'Corleone', 'crime', 'family.', 'When', 'organized', 'crime', 'family', 'patriarch,', 'Vito', 'Corleone', 'barely', 'survives', 'an', 'attempt', 'on', 'his', 'life,', 'his', 'youngest', 'son,', 'Michael', 'steps', 'in', 'to', 'take', 'care', 'of', 'the', 'would-be', 'killers,', 'launching', 'a', 'campaign', 'of', 'bloody', 'revenge.', 'Drama', 'Crime']"
11224,Cinderella,ClydeGeronimi,http://movies.disney.com/cinderella-1950,"['Cinderella', 'has', 'faith', 'her', 'dreams', 'of', 'a', 'better', 'life', 'will', 'come', 'true.', 'With', 'help', 'from', 'her', 'loyal', 'mice', 'friends', 'and', 'a', 'wave', 'of', 'her', 'Fairy', ""Godmother's"", 'wand,', ""Cinderella's"", 'rags', 'are', 'magically', 'turned', 'into', 'a', 'glorious', 'gown', 'and', 'off', 'she', 'goes', 'to', 'the', 'Royal', 'Ball.', 'But', 'when', 'the', 'clock', 'strikes', 'midnight,', 'the', 'spell', 'is', 'broken,', 'leaving', 'a', 'single', 'glass', 'slipper...', 'the', 'only', 'key', 'to', 'the', 'ultimate', 'fairy-tale', 'ending!', 'Family', 'Fantasy', 'Animation', 'Romance']"
15947,The Three Caballeros,WilliamRoberts,http://movies.disney.com/the-three-caballeros,"['For', ""Donald's"", 'birthday', 'he', 'receives', 'a', 'box', 'with', 'three', 'gifts', 'inside.', 'The', 'gifts,', 'a', 'movie', 'projector,', 'a', 'pop-up', 'book,', 'and', 'a', 'pinata,', 'each', 'take', 'Donald', 'on', 'wild', 'adventures', 'through', 'Mexico', 'and', 'South', 'America.', 'Animation', 'Family', 'Music']"
10948,The Fox and the Hound,TedBerman,http://movies.disney.com/the-fox-and-the-hound,"['When', 'a', 'feisty', 'little', 'fox', 'named', 'Tod', 'is', 'adopted', 'into', 'a', 'farm', 'family,', 'he', 'quickly', 'becomes', 'friends', 'with', 'a', 'fun', 'and', 'adorable', 'hound', 'puppy', 'named', 'Copper.', 'Life', 'is', 'full', 'of', 'hilarious', 'adventures', 'until', 'Copper', 'is', 'expected', 'to', 'take', 'on', 'his', 'role', 'as', 'a', 'hunting', 'dog', '--', 'and', 'the', 'object', 'of', 'his', 'search', 'is', 'his', 'best', 'friend!', 'Adventure', 'Animation', 'Drama', 'Family']"
11238,Aladdin and the King of Thieves,TadStones,http://movies.disney.com/aladdin-and-the-king-of-thieves,"['Legendary', 'secrets', 'are', 'revealed', 'as', 'Aladdin', 'and', 'his', 'friends—Jasmine,', 'Abu,', 'Carpet', 'and,', 'of', 'course,', 'the', 'always', 'entertaining', 'Genie—face', 'all', 'sorts', 'of', 'terrifying', 'threats', 'and', 'make', 'some', 'exciting', 'last-minute', 'escapes', 'pursuing', 'the', 'King', 'Of', 'Thieves', 'and', 'his', 'villainous', 'crew.', 'Adventure', 'Animation', 'Family']"
88,Dirty Dancing,EmileArdolino,http://lionsgateathome.com/dirty-dancing,"['Expecting', 'the', 'usual', 'tedium', 'that', 'accompanies', 'a', 'summer', 'in', 'the', 'Catskills', 'with', 'her', 'family,', '17-year-old', 'Frances', ""'Baby'"", 'Houseman', 'is', 'surprised', 'to', 'find', 'herself', 'stepping', 'into', 'the', 'shoes', 'of', 'a', 'professional', 'hoofer', '–', 'and', 'unexpectedly', 'falling', 'in', 'love.', 'Drama', 'Music', 'Romance']"
402,Basic Instinct,PaulVerhoeven,https://www.sonymoviechannel.com/movies/basic-instinct,"['A', 'police', 'detective', 'is', 'in', 'charge', 'of', 'the', 'investigation', 'of', 'a', 'brutal', 'murder,', 'in', 'which', 'a', 'beautiful', 'and', 'seductive', 'woman', 'could', 'be', 'involved.', 'Thriller', 'Mystery']"
1103,Escape from New York,JohnCarpenter,http://www.theofficialjohncarpenter.com/escape-from-new-york/,"['In', '1997,', 'the', 'island', 'of', 'Manhattan', 'has', 'been', 'walled', 'off', 'and', 'turned', 'into', 'a', 'giant', 'maximum', 'security', 'prison', 'within', 'which', 'the', ""country's"", 'worst', 'criminals', 'are', 'left', 'to', 'form', 'their', 'own', 'anarchic', 'society.', 'However,', 'when', 'the', 'President', 'of', 'the', 'United', 'States', 'crash', 'lands', 'on', 'the', 'island,', 'the', 'authorities', 'turn', 'to', 'a', 'former', 'soldier', 'and', 'current', 'convict,', 'Snake', 'Plissken,', 'to', 'rescue', 'him.', 'ScienceFiction', 'Action']"
531,The Wrong Trousers,NickPark,http://www.wallaceandgromit.com/films/the-wrong-trousers,"['Gromit', 'finds', 'himself', 'being', 'pushed', 'out', 'of', 'his', 'room', 'and', 'home', 'by', 'a', 'new', 'lodger', 'who', 'is', 'actually', 'a', 'ruthless', 'criminal', '(and', 'a', 'small', 'penguin).', 'The', 'penguin', 'is', 'planning', 'a', 'robbery', 'and', 'needs', 'to', 'use', 'Wallace', 'and', 'his', 'mechanical', 'remote', 'controlled', 'trousers', 'to', 'pull', 'off', 'the', 'raid.', 'However,', 'Gromit', 'is', 'wise', 'to', 'the', 'penguin', 'and', 'comes', 'to', 'the', 'rescue.', 'Animation', 'Comedy', 'Family']"
1891,The Empire Strikes Back,IrvinKershner,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,"['The', 'epic', 'saga', 'continues', 'as', 'Luke', 'Skywalker,', 'in', 'hopes', 'of', 'defeating', 'the', 'evil', 'Galactic', 'Empire,', 'learns', 'the', 'ways', 'of', 'the', 'Jedi', 'from', 'aging', 'master', 'Yoda.', 'But', 'Darth', 'Vader', 'is', 'more', 'determined', 'than', 'ever', 'to', 'capture', 'Luke.', 'Meanwhile,', 'rebel', 'leader', 'Princess', 'Leia,', 'cocky', 'Han', 'Solo,', 'Chewbacca,', 'and', 'droids', 'C-3PO', 'and', 'R2-D2', 'are', 'thrown', 'into', 'various', 'stages', 'of', 'capture,', 'betrayal', 'and', 'despair.', 'Adventure', 'Action', 'ScienceFiction']"
85,Raiders of the Lost Ark,StevenSpielberg,http://www.indianajones.com,"['When', 'Dr.', 'Indiana', 'Jones', '–', 'the', 'tweed-suited', 'professor', 'who', 'just', 'happens', 'to', 'be', 'a', 'celebrated', 'archaeologist', '–', 'is', 'hired', 'by', 'the', 'government', 'to', 'locate', 'the', 'legendary', 'Ark', 'of', 'the', 'Covenant,', 'he', 'finds', 'himself', 'up', 'against', 'the', 'entire', 'Nazi', 'regime.', 'Adventure', 'Action']"
429,"The Good, the Bad and the Ugly",SergioLeone,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly","['While', 'the', 'Civil', 'War', 'rages', 'between', 'the', 'Union', 'and', 'the', 'Confederacy,', 'three', 'men', '–', 'a', 'quiet', 'loner,', 'a', 'ruthless', 'hit', 'man', 'and', 'a', 'Mexican', 'bandit', '–', 'comb', 'the', 'American', 'Southwest', 'in', 'search', 'of', 'a', 'strongbox', 'containing', '$200,000', 'in', 'stolen', 'gold.', 'Western']"
1892,Return of the Jedi,RichardMarquand,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,"['As', 'Rebel', 'leaders', 'map', 'their', 'strategy', 'for', 'an', 'all-out', 'attack', 'on', 'the', ""Emperor's"", 'newer,', 'bigger', 'Death', 'Star.', 'Han', 'Solo', 'remains', 'frozen', 'in', 'the', 'cavernous', 'desert', 'fortress', 'of', 'Jabba', 'the', 'Hutt,', 'the', 'most', 'loathsome', 'outlaw', 'in', 'the', 'universe,', 'who', 'is', 'also', 'keeping', 'Princess', 'Leia', 'as', 'a', 'slave', 'girl.', 'Now', 'a', 'master', 'of', 'the', 'Force,', 'Luke', 'Skywalker', 'rescues', 'his', 'friends,', 'but', 'he', 'cannot', 'become', 'a', 'true', 'Jedi', 'Knight', 'until', 'he', 'wages', 'his', 'own', 'crucial', 'battle', 'against', 'Darth', 'Vader,', 'who', 'has', 'sworn', 'to', 'win', 'Luke', 'over', 'to', 'the', 'dark', 'side', 'of', 'the', 'Force.', 'Adventure', 'Action', 'ScienceFiction']"
348,Alien,RidleyScott,https://www.facebook.com/alienanthology/,"['During', 'its', 'return', 'to', 'the', 'earth,', 'commercial', 'spaceship', 'Nostromo', 'intercepts', 'a', 'distress', 'signal', 'from', 'a', 'distant', 'planet.', 'When', 'a', 'three-member', 'team', 'of', 'the', 'crew', 'discovers', 'a', 'chamber', 'containing', 'thousands', 'of', 'eggs', 'on', 'the', 'planet,', 'a', 'creature', 'inside', 'one', 'of', 'the', 'eggs', 'attacks', 'an', 'explorer.', 'The', 'entire', 'crew', 'is', 'unaware', 'of', 'the', 'impending', 'nightmare', 'set', 'to', 'descend', 'upon', 'them', 'when', 'the', 'alien', 'parasite', 'planted', 'inside', 'its', 'unfortunate', 'host', 'is', 'birthed.', 'Horror', 'Action', 'Thriller', 'ScienceFiction']"
530,A Grand Day Out,NickPark,http://www.wallaceandgromit.com/films/a-grand-day-out,"['Wallace', 'and', 'Gromit', 'have', 'run', 'out', 'of', 'cheese', 'and', 'this', 'provides', 'an', 'excellent', 'excuse', 'for', 'the', 'animated', 'duo', 'to', 'take', 'their', 'holiday', 'on', 'the', 'moon,', 'where,', 'as', 'everyone', 'knows,', 'there', 'is', 'ample', 'cheese.', 'The', 'moon', 'is', 'inhabited', 'by', 'a', 'mechanical', 'caretaker,', 'who', 'is', 'not', 'too', 'happy', 'about', 'the', 'two', 'visitors', 'from', 'earth', 'that', 'nibble', 'on', 'the', 'moon.', 'Adventure', 'Animation', 'Comedy', 'ScienceFiction', 'Family']"
